replication,apk,category,generating_script,option_under_investigation,true_positive,successful,time,total time,completed,category_precision,category_recall,category_fmeasure,is_tp,is_fp,is_fn,sum_tp,sum_fp,sum_fn,run_precision,run_recall,run_fmeasure,aliasalgo,aliasflowins,aplength,callbackanalyzer,codeelimination,cgalgo,dataflowsolver,analyzeframeworks,implicit,maxcallbackspercomponent,maxcallbacksdepth,nocallbacks,noexceptions,nothischainreduction,pathalgo,pathspecificresults,onesourceatatime,onecomponentatatime,enablereflection,singlejoinpointabstraction,staticmode,taintwrapper,num_timeouts,tp,fp,fn
2,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/Callbacks/Unregister1.apk,Callbacks,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/1-way/config_FlowDroid_aplength5.xml,aplength,FALSE,FALSE,20373,4515949,1,0.866666667,0.928571429,0.896551724,0,1,0,84,12,78,0.875,0.518518519,0.651162791,FLOWSENSITIVE,FALSE,5,DEFAULT,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,FALSE,NONE,100,-1,FALSE,FALSE,FALSE,CONTEXTSENSITIVE,FALSE,FALSE,FALSE,FALSE,FALSE,CONTEXTFLOWSENSITIVE,DEFAULT,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/Callbacks/Unregister1.apk,Callbacks,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/1-way/config_FlowDroid_callbackanalyzerfast.xml,callbackanalyzer,FALSE,TRUE,16814,4613872,1,1,0.285714286,0.444444444,0,0,0,72,10,90,0.87804878,0.444444444,0.590163934,FLOWSENSITIVE,FALSE,5,FAST,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,FALSE,NONE,100,-1,FALSE,FALSE,FALSE,CONTEXTSENSITIVE,FALSE,FALSE,FALSE,FALSE,FALSE,CONTEXTFLOWSENSITIVE,DEFAULT,0,0,0,0
2,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/Callbacks/Unregister1.apk,Callbacks,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/1-way/config_FlowDroid_aplength5.xml,aplength,FALSE,FALSE,20373,4515949,1,0.866666667,0.928571429,0.896551724,0,1,0,84,12,78,0.875,0.518518519,0.651162791,FLOWSENSITIVE,FALSE,5,DEFAULT,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,FALSE,NONE,100,-1,FALSE,FALSE,FALSE,CONTEXTSENSITIVE,FALSE,FALSE,FALSE,FALSE,FALSE,CONTEXTFLOWSENSITIVE,DEFAULT,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/Callbacks/Unregister1.apk,Callbacks,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/1-way/config_FlowDroid_callbackanalyzerfast.xml,callbackanalyzer,FALSE,TRUE,8724,2960903,1,1,0.285714286,0.444444444,0,0,0,72,10,90,0.87804878,0.444444444,0.590163934,FLOWSENSITIVE,FALSE,5,FAST,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,FALSE,NONE,100,-1,FALSE,FALSE,FALSE,CONTEXTSENSITIVE,FALSE,FALSE,FALSE,FALSE,FALSE,CONTEXTFLOWSENSITIVE,DEFAULT,0,0,0,0
2,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/Callbacks/Unregister1.apk,Callbacks,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/1-way/config_FlowDroid_aplength5.xml,aplength,FALSE,FALSE,20373,4515949,1,0.866666667,0.928571429,0.896551724,0,1,0,84,12,78,0.875,0.518518519,0.651162791,FLOWSENSITIVE,FALSE,5,DEFAULT,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,FALSE,NONE,100,-1,FALSE,FALSE,FALSE,CONTEXTSENSITIVE,FALSE,FALSE,FALSE,FALSE,FALSE,CONTEXTFLOWSENSITIVE,DEFAULT,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/Callbacks/Button2.apk,Callbacks,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/1-way/config_FlowDroid_callbackanalyzerfast.xml,callbackanalyzer,FALSE,TRUE,29029,4613872,1,1,0.285714286,0.444444444,0,0,0,72,10,90,0.87804878,0.444444444,0.590163934,FLOWSENSITIVE,FALSE,5,FAST,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,FALSE,NONE,100,-1,FALSE,FALSE,FALSE,CONTEXTSENSITIVE,FALSE,FALSE,FALSE,FALSE,FALSE,CONTEXTFLOWSENSITIVE,DEFAULT,0,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/Callbacks/Button2.apk,Callbacks,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/1-way/config_FlowDroid_aplength5.xml,aplength,FALSE,FALSE,18603,3018046,1,0.866666667,0.928571429,0.896551724,0,1,0,84,12,78,0.875,0.518518519,0.651162791,FLOWSENSITIVE,FALSE,5,DEFAULT,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,FALSE,NONE,100,-1,FALSE,FALSE,FALSE,CONTEXTSENSITIVE,FALSE,FALSE,FALSE,FALSE,FALSE,CONTEXTFLOWSENSITIVE,DEFAULT,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/Callbacks/Button2.apk,Callbacks,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/1-way/config_FlowDroid_callbackanalyzerfast.xml,callbackanalyzer,FALSE,TRUE,13453,2960903,1,1,0.285714286,0.444444444,0,0,0,72,10,90,0.87804878,0.444444444,0.590163934,FLOWSENSITIVE,FALSE,5,FAST,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,FALSE,NONE,100,-1,FALSE,FALSE,FALSE,CONTEXTSENSITIVE,FALSE,FALSE,FALSE,FALSE,FALSE,CONTEXTFLOWSENSITIVE,DEFAULT,0,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/Callbacks/Button2.apk,Callbacks,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/1-way/config_FlowDroid_aplength5.xml,aplength,FALSE,FALSE,18603,3018046,1,0.866666667,0.928571429,0.896551724,0,1,0,84,12,78,0.875,0.518518519,0.651162791,FLOWSENSITIVE,FALSE,5,DEFAULT,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,FALSE,NONE,100,-1,FALSE,FALSE,FALSE,CONTEXTSENSITIVE,FALSE,FALSE,FALSE,FALSE,FALSE,CONTEXTFLOWSENSITIVE,DEFAULT,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/Callbacks/Button2.apk,Callbacks,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/1-way/config_FlowDroid_callbackanalyzerfast.xml,callbackanalyzer,FALSE,TRUE,11574,2792139,1,1,0.285714286,0.444444444,0,0,0,72,10,90,0.87804878,0.444444444,0.590163934,FLOWSENSITIVE,FALSE,5,FAST,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,FALSE,NONE,100,-1,FALSE,FALSE,FALSE,CONTEXTSENSITIVE,FALSE,FALSE,FALSE,FALSE,FALSE,CONTEXTFLOWSENSITIVE,DEFAULT,0,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/Callbacks/Button2.apk,Callbacks,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/1-way/config_FlowDroid_aplength5.xml,aplength,FALSE,FALSE,18603,3018046,1,0.866666667,0.928571429,0.896551724,0,1,0,84,12,78,0.875,0.518518519,0.651162791,FLOWSENSITIVE,FALSE,5,DEFAULT,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,FALSE,NONE,100,-1,FALSE,FALSE,FALSE,CONTEXTSENSITIVE,FALSE,FALSE,FALSE,FALSE,FALSE,CONTEXTFLOWSENSITIVE,DEFAULT,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/Callbacks/Unregister1.apk,Callbacks,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/1-way/config_FlowDroid_callbackanalyzerfast.xml,callbackanalyzer,FALSE,TRUE,17368,2792139,1,1,0.285714286,0.444444444,0,0,0,72,10,90,0.87804878,0.444444444,0.590163934,FLOWSENSITIVE,FALSE,5,FAST,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,FALSE,NONE,100,-1,FALSE,FALSE,FALSE,CONTEXTSENSITIVE,FALSE,FALSE,FALSE,FALSE,FALSE,CONTEXTFLOWSENSITIVE,DEFAULT,0,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/Callbacks/Unregister1.apk,Callbacks,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/1-way/config_FlowDroid_aplength5.xml,aplength,FALSE,FALSE,17742,3018046,1,0.866666667,0.928571429,0.896551724,0,1,0,84,12,78,0.875,0.518518519,0.651162791,FLOWSENSITIVE,FALSE,5,DEFAULT,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,FALSE,NONE,100,-1,FALSE,FALSE,FALSE,CONTEXTSENSITIVE,FALSE,FALSE,FALSE,FALSE,FALSE,CONTEXTFLOWSENSITIVE,DEFAULT,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/Callbacks/Unregister1.apk,Callbacks,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/1-way/config_FlowDroid_callbackanalyzerfast.xml,callbackanalyzer,FALSE,TRUE,16814,4613872,1,1,0.285714286,0.444444444,0,0,0,72,10,90,0.87804878,0.444444444,0.590163934,FLOWSENSITIVE,FALSE,5,FAST,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,FALSE,NONE,100,-1,FALSE,FALSE,FALSE,CONTEXTSENSITIVE,FALSE,FALSE,FALSE,FALSE,FALSE,CONTEXTFLOWSENSITIVE,DEFAULT,0,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/Callbacks/Unregister1.apk,Callbacks,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/1-way/config_FlowDroid_aplength5.xml,aplength,FALSE,FALSE,17742,3018046,1,0.866666667,0.928571429,0.896551724,0,1,0,84,12,78,0.875,0.518518519,0.651162791,FLOWSENSITIVE,FALSE,5,DEFAULT,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,FALSE,NONE,100,-1,FALSE,FALSE,FALSE,CONTEXTSENSITIVE,FALSE,FALSE,FALSE,FALSE,FALSE,CONTEXTFLOWSENSITIVE,DEFAULT,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/Callbacks/Unregister1.apk,Callbacks,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/1-way/config_FlowDroid_callbackanalyzerfast.xml,callbackanalyzer,FALSE,TRUE,8724,2960903,1,1,0.285714286,0.444444444,0,0,0,72,10,90,0.87804878,0.444444444,0.590163934,FLOWSENSITIVE,FALSE,5,FAST,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,FALSE,NONE,100,-1,FALSE,FALSE,FALSE,CONTEXTSENSITIVE,FALSE,FALSE,FALSE,FALSE,FALSE,CONTEXTFLOWSENSITIVE,DEFAULT,0,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/Callbacks/Unregister1.apk,Callbacks,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/1-way/config_FlowDroid_aplength5.xml,aplength,FALSE,FALSE,17742,3018046,1,0.866666667,0.928571429,0.896551724,0,1,0,84,12,78,0.875,0.518518519,0.651162791,FLOWSENSITIVE,FALSE,5,DEFAULT,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,FALSE,NONE,100,-1,FALSE,FALSE,FALSE,CONTEXTSENSITIVE,FALSE,FALSE,FALSE,FALSE,FALSE,CONTEXTFLOWSENSITIVE,DEFAULT,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/Callbacks/Unregister1.apk,Callbacks,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/1-way/config_FlowDroid_callbackanalyzerfast.xml,callbackanalyzer,FALSE,TRUE,17368,2792139,1,1,0.285714286,0.444444444,0,0,0,72,10,90,0.87804878,0.444444444,0.590163934,FLOWSENSITIVE,FALSE,5,FAST,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,FALSE,NONE,100,-1,FALSE,FALSE,FALSE,CONTEXTSENSITIVE,FALSE,FALSE,FALSE,FALSE,FALSE,CONTEXTFLOWSENSITIVE,DEFAULT,0,0,0,0
3,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/Callbacks/Unregister1.apk,Callbacks,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/1-way/config_FlowDroid_aplength5.xml,aplength,FALSE,FALSE,13171,2858805,1,0.866666667,0.928571429,0.896551724,0,1,0,84,12,78,0.875,0.518518519,0.651162791,FLOWSENSITIVE,FALSE,5,DEFAULT,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,FALSE,NONE,100,-1,FALSE,FALSE,FALSE,CONTEXTSENSITIVE,FALSE,FALSE,FALSE,FALSE,FALSE,CONTEXTFLOWSENSITIVE,DEFAULT,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/Callbacks/Unregister1.apk,Callbacks,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/1-way/config_FlowDroid_callbackanalyzerfast.xml,callbackanalyzer,FALSE,TRUE,16814,4613872,1,1,0.285714286,0.444444444,0,0,0,72,10,90,0.87804878,0.444444444,0.590163934,FLOWSENSITIVE,FALSE,5,FAST,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,FALSE,NONE,100,-1,FALSE,FALSE,FALSE,CONTEXTSENSITIVE,FALSE,FALSE,FALSE,FALSE,FALSE,CONTEXTFLOWSENSITIVE,DEFAULT,0,0,0,0
3,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/Callbacks/Unregister1.apk,Callbacks,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/1-way/config_FlowDroid_aplength5.xml,aplength,FALSE,FALSE,13171,2858805,1,0.866666667,0.928571429,0.896551724,0,1,0,84,12,78,0.875,0.518518519,0.651162791,FLOWSENSITIVE,FALSE,5,DEFAULT,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,FALSE,NONE,100,-1,FALSE,FALSE,FALSE,CONTEXTSENSITIVE,FALSE,FALSE,FALSE,FALSE,FALSE,CONTEXTFLOWSENSITIVE,DEFAULT,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/Callbacks/Unregister1.apk,Callbacks,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/1-way/config_FlowDroid_callbackanalyzerfast.xml,callbackanalyzer,FALSE,TRUE,8724,2960903,1,1,0.285714286,0.444444444,0,0,0,72,10,90,0.87804878,0.444444444,0.590163934,FLOWSENSITIVE,FALSE,5,FAST,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,FALSE,NONE,100,-1,FALSE,FALSE,FALSE,CONTEXTSENSITIVE,FALSE,FALSE,FALSE,FALSE,FALSE,CONTEXTFLOWSENSITIVE,DEFAULT,0,0,0,0
3,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/Callbacks/Unregister1.apk,Callbacks,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/1-way/config_FlowDroid_aplength5.xml,aplength,FALSE,FALSE,13171,2858805,1,0.866666667,0.928571429,0.896551724,0,1,0,84,12,78,0.875,0.518518519,0.651162791,FLOWSENSITIVE,FALSE,5,DEFAULT,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,FALSE,NONE,100,-1,FALSE,FALSE,FALSE,CONTEXTSENSITIVE,FALSE,FALSE,FALSE,FALSE,FALSE,CONTEXTFLOWSENSITIVE,DEFAULT,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/Callbacks/Button2.apk,Callbacks,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/1-way/config_FlowDroid_callbackanalyzerfast.xml,callbackanalyzer,FALSE,TRUE,29029,4613872,1,1,0.285714286,0.444444444,0,0,0,72,10,90,0.87804878,0.444444444,0.590163934,FLOWSENSITIVE,FALSE,5,FAST,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,FALSE,NONE,100,-1,FALSE,FALSE,FALSE,CONTEXTSENSITIVE,FALSE,FALSE,FALSE,FALSE,FALSE,CONTEXTFLOWSENSITIVE,DEFAULT,0,0,0,0
3,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/Callbacks/Button2.apk,Callbacks,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/1-way/config_FlowDroid_aplength5.xml,aplength,FALSE,FALSE,12870,2858805,1,0.866666667,0.928571429,0.896551724,0,1,0,84,12,78,0.875,0.518518519,0.651162791,FLOWSENSITIVE,FALSE,5,DEFAULT,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,FALSE,NONE,100,-1,FALSE,FALSE,FALSE,CONTEXTSENSITIVE,FALSE,FALSE,FALSE,FALSE,FALSE,CONTEXTFLOWSENSITIVE,DEFAULT,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/Callbacks/Button2.apk,Callbacks,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/1-way/config_FlowDroid_callbackanalyzerfast.xml,callbackanalyzer,FALSE,TRUE,13453,2960903,1,1,0.285714286,0.444444444,0,0,0,72,10,90,0.87804878,0.444444444,0.590163934,FLOWSENSITIVE,FALSE,5,FAST,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,FALSE,NONE,100,-1,FALSE,FALSE,FALSE,CONTEXTSENSITIVE,FALSE,FALSE,FALSE,FALSE,FALSE,CONTEXTFLOWSENSITIVE,DEFAULT,0,0,0,0
3,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/Callbacks/Button2.apk,Callbacks,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/1-way/config_FlowDroid_aplength5.xml,aplength,FALSE,FALSE,12870,2858805,1,0.866666667,0.928571429,0.896551724,0,1,0,84,12,78,0.875,0.518518519,0.651162791,FLOWSENSITIVE,FALSE,5,DEFAULT,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,FALSE,NONE,100,-1,FALSE,FALSE,FALSE,CONTEXTSENSITIVE,FALSE,FALSE,FALSE,FALSE,FALSE,CONTEXTFLOWSENSITIVE,DEFAULT,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/Callbacks/Button2.apk,Callbacks,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/1-way/config_FlowDroid_callbackanalyzerfast.xml,callbackanalyzer,FALSE,TRUE,11574,2792139,1,1,0.285714286,0.444444444,0,0,0,72,10,90,0.87804878,0.444444444,0.590163934,FLOWSENSITIVE,FALSE,5,FAST,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,FALSE,NONE,100,-1,FALSE,FALSE,FALSE,CONTEXTSENSITIVE,FALSE,FALSE,FALSE,FALSE,FALSE,CONTEXTFLOWSENSITIVE,DEFAULT,0,0,0,0
3,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/Callbacks/Button2.apk,Callbacks,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/1-way/config_FlowDroid_aplength5.xml,aplength,FALSE,FALSE,12870,2858805,1,0.866666667,0.928571429,0.896551724,0,1,0,84,12,78,0.875,0.518518519,0.651162791,FLOWSENSITIVE,FALSE,5,DEFAULT,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,FALSE,NONE,100,-1,FALSE,FALSE,FALSE,CONTEXTSENSITIVE,FALSE,FALSE,FALSE,FALSE,FALSE,CONTEXTFLOWSENSITIVE,DEFAULT,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
